区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1121001X1018,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素,,,,,8.50 ,,
内用薬,1121001X1085,ブロモバレリル尿素,１ｇ,局,,,ブロムワレリル尿素「メタル」,中北薬品,,,,9.10 ,H30.3.31まで,
内用薬,1121001X1131,ブロモバレリル尿素,１ｇ,局,,※,ブロムワレリル尿素（山善）,山善製薬,,,,9.10 ,,
内用薬,1121001X1204,ブロモバレリル尿素,１ｇ,局,,,ブロバリン原末,日本新薬,,,,9.10 ,,
内用薬,1121001X1212,ブロモバレリル尿素,１ｇ,局,,,ブロモバレリル尿素「ヨシダ」,吉田製薬,,,,10.10 ,H29.3.31まで,
内用薬,1121001X1220,ブロモバレリル尿素,１ｇ,局,,,ブロムワレリル尿素「ＪＧ」,日本ジェネリック,,,,9.10 ,,
内用薬,1123001X1012,抱水クロラール,１ｇ,局,,,抱水クロラール,,,,,36.20 ,,
内用薬,1124001B1039,エスタゾラム,１％１ｇ,,,,ユーロジン散１％,武田テバ薬品,,先発品,,56.60 ,,
内用薬,1124001F1022,エスタゾラム,１ｍｇ１錠,,,,ユーロジン１ｍｇ錠,武田テバ薬品,,先発品,○,9.10 ,,
内用薬,1124001F1030,エスタゾラム,１ｍｇ１錠,,,,エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,後発品,,,6.90 ,,
内用薬,1124001F2029,エスタゾラム,２ｍｇ１錠,,,,ユーロジン２ｍｇ錠,武田テバ薬品,,先発品,○,14.40 ,,
内用薬,1124001F2037,エスタゾラム,２ｍｇ１錠,,,,エスタゾラム錠２ｍｇ「アメル」,共和薬品工業,後発品,,,11.30 ,,
内用薬,1124002M2022,フルラゼパム塩酸塩,１５ｍｇ１カプセル,,,,ダルメートカプセル１５,共和薬品工業,,先発品,,10.30 ,,
内用薬,1124003B1070,ニトラゼパム,１％１ｇ,,,,ネルボン散１％,第一三共,,準先発品,○,16.60 ,,
内用薬,1124003C1092,ニトラゼパム,１％１ｇ,,,,ベンザリン細粒１％,塩野義製薬,,準先発品,○,17.40 ,,
内用薬,1124003C1114,ニトラゼパム,１％１ｇ,,,,ニトラゼパム細粒１％「ＴＣＫ」,辰巳化学,後発品,,,6.20 ,,
内用薬,1124003F1021,ニトラゼパム,２ｍｇ１錠,,,,ベンザリン錠２,塩野義製薬,,,,5.80 ,,
内用薬,1124003F2222,ニトラゼパム,５ｍｇ１錠,,,,ベンザリン錠５,塩野義製薬,,準先発品,○,10.40 ,,
内用薬,1124003F2230,ニトラゼパム,５ｍｇ１錠,,,,ネルボン錠５ｍｇ,第一三共,,準先発品,○,10.50 ,,
内用薬,1124003F2249,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「トーワ」,東和薬品,後発品,,,5.40 ,,
内用薬,1124003F2265,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.40 ,,
内用薬,1124003F2273,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.40 ,,
内用薬,1124003F2281,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「イセイ」,コーアイセイ,後発品,,,5.40 ,,
内用薬,1124003F2290,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「テバ」,武田テバファーマ,後発品,,,5.40 ,,
内用薬,1124003F2303,ニトラゼパム,５ｍｇ１錠,,,,ニトラゼパム錠５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.40 ,,
内用薬,1124003F3016,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム１０ｍｇ錠,,後発品,,,5.60 ,,
内用薬,1124003F3083,ニトラゼパム,１０ｍｇ１錠,,,,ネルボン錠１０ｍｇ,第一三共,,準先発品,○,16.40 ,,
内用薬,1124003F3121,ニトラゼパム,１０ｍｇ１錠,,,,ベンザリン錠１０,塩野義製薬,,準先発品,○,16.20 ,,
内用薬,1124003F3156,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム錠１０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.60 ,,
内用薬,1124003F3172,ニトラゼパム,１０ｍｇ１錠,,,,ニトラゼパム錠１０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.60 ,,
内用薬,1124004F1042,ニメタゼパム,３ｍｇ１錠,,,,エリミン錠３ｍｇ,大日本住友製薬,,先発品,,14.10 ,H29.3.31まで,
内用薬,1124004F2030,ニメタゼパム,５ｍｇ１錠,,,,エリミン錠５ｍｇ,大日本住友製薬,,先発品,,18.40 ,H29.3.31まで,
内用薬,1124005C1032,ハロキサゾラム,１％１ｇ,,,,ソメリン細粒１％,第一三共,,先発品,,27.60 ,,
内用薬,1124005F1020,ハロキサゾラム,５ｍｇ１錠,,,,ソメリン錠５ｍｇ,第一三共,,先発品,,17.90 ,,
内用薬,1124005F2027,ハロキサゾラム,１０ｍｇ１錠,,,,ソメリン錠１０ｍｇ,第一三共,,先発品,,26.80 ,,
内用薬,1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルシオン０．１２５ｍｇ錠,ファイザー,,先発品,○,9.50 ,,
内用薬,1124007F1038,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルラック錠０．１２５ｍｇ,富士薬品,後発品,,,5.60 ,,
内用薬,1124007F1046,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,,,5.60 ,,
内用薬,1124007F1070,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,大興製薬,後発品,,,5.60 ,,
内用薬,1124007F1097,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.60 ,,
内用薬,1124007F1127,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「テバ」,武田テバファーマ,後発品,,,5.60 ,,
内用薬,1124007F1135,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「日医工」,日医工,後発品,,,5.60 ,,
内用薬,1124007F1143,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,5.60 ,,
内用薬,1124007F1151,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「ＫＮ」,小林化工,後発品,,,5.60 ,,
内用薬,1124007F1160,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム錠０．１２５ｍｇ「日新」,日新製薬（山形）,後発品,,,5.60 ,,
内用薬,1124007F2026,トリアゾラム,０．２５ｍｇ１錠,,,,ハルシオン０．２５ｍｇ錠,ファイザー,,先発品,○,13.80 ,,
内用薬,1124007F2107,トリアゾラム,０．２５ｍｇ１錠,,,,ハルラック錠０．２５ｍｇ,富士薬品,後発品,,,5.80 ,,
内用薬,1124007F2182,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,,,5.80 ,,
内用薬,1124007F2190,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,,,5.80 ,,
内用薬,1124007F2204,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.80 ,,
内用薬,1124007F2220,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「テバ」,武田テバファーマ,後発品,,,5.80 ,,
内用薬,1124007F2239,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「日医工」,日医工,後発品,,,5.80 ,,
内用薬,1124007F2247,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,5.80 ,,
内用薬,1124007F2255,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「ＫＮ」,小林化工,後発品,,,5.80 ,,
内用薬,1124007F2263,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム錠０．２５ｍｇ「日新」,日新製薬（山形）,後発品,,,5.80 ,,
内用薬,1124008F1024,フルニトラゼパム,１ｍｇ１錠,,,,サイレース錠１ｍｇ,エーザイ,,先発品,○,14.00 ,,
内用薬,1124008F1032,フルニトラゼパム,１ｍｇ１錠,,,,ロヒプノール錠１,エーザイ,,先発品,○,13.30 ,,
内用薬,1124008F1067,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「アメル」,共和薬品工業,後発品,,,5.60 ,,
内用薬,1124008F1075,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.60 ,,
内用薬,1124008F1083,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「ＳＮ」,シオノケミカル,後発品,,,5.60 ,H30.3.31まで,
内用薬,1124008F1091,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム錠１ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,5.60 ,,
内用薬,1124008F2012,フルニトラゼパム,２ｍｇ１錠,,,,フルニトラゼパム２ｍｇ錠,,後発品,,,5.80 ,,
内用薬,1124008F2020,フルニトラゼパム,２ｍｇ１錠,,,,サイレース錠２ｍｇ,エーザイ,,先発品,○,20.00 ,,
内用薬,1124008F2039,フルニトラゼパム,２ｍｇ１錠,,,,ロヒプノール錠２,エーザイ,,先発品,○,19.60 ,,
内用薬,1124009F1010,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠（１）,,後発品,,,8.50 ,,
内用薬,1124009F1037,ブロチゾラム,０．２５ｍｇ１錠,局,,,グッドミン錠０．２５ｍｇ,田辺三菱製薬,後発品,,,9.90 ,H30.3.31まで,
内用薬,1124009F1070,ブロチゾラム,０．２５ｍｇ１錠,局,,,ノクスタール錠０．２５ｍｇ,アルフレッサファーマ,後発品,,,9.90 ,,
内用薬,1124009F1185,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」,サンノーバ,後発品,,,9.90 ,,
内用薬,1124009F1193,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「ＹＤ」,陽進堂,後発品,,,9.90 ,,
内用薬,1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,局,,,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,24.30 ,,
内用薬,1124009F1240,ブロチゾラム,０．２５ｍｇ１錠,局,,,ソレントミン錠０．２５ｍｇ,武田テバ薬品,後発品,,,9.90 ,,
内用薬,1124009F1282,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「ＣＨ」,長生堂製薬,後発品,,,9.90 ,,
